,condition,sampleID,targetID,status
0,ConditionA,known0,m0,present
1,ConditionA,known0,m1,absent
2,ConditionA,known0,m2,absent
3,ConditionA,known0,m3,absent
4,ConditionA,known0,m4,absent
5,ConditionA,known0,m5,absent
6,ConditionA,known0,m6,absent
7,ConditionA,known0,m7,absent
8,ConditionA,known0,m8,present
9,ConditionA,known0,m9,absent
10,ConditionA,known0,m10,absent
11,ConditionA,known0,m11,absent
12,ConditionA,known0,m12,absent
13,ConditionA,known0,m13,absent
14,ConditionA,known0,m14,absent
15,ConditionA,known0,m15,absent
16,ConditionA,known0,m16,present
17,ConditionA,known0,m17,absent
18,ConditionA,known0,m18,absent
19,ConditionA,known0,m19,absent
20,ConditionA,known0,m20,absent
21,ConditionA,known0,m21,absent
22,ConditionA,known0,m22,absent
23,ConditionA,known0,m23,absent
24,ConditionA,known0,m24,present
25,ConditionA,known0,m25,absent
26,ConditionA,known0,m26,absent
27,ConditionA,known0,m27,absent
28,ConditionA,known0,m28,absent
29,ConditionA,known0,m29,absent
30,ConditionA,known0,m30,absent
31,ConditionA,known0,m31,absent
32,ConditionA,known1,m0,absent
33,ConditionA,known1,m1,present
34,ConditionA,known1,m2,absent
35,ConditionA,known1,m3,absent
36,ConditionA,known1,m4,absent
37,ConditionA,known1,m5,absent
38,ConditionA,known1,m6,absent
39,ConditionA,known1,m7,absent
40,ConditionA,known1,m8,absent
41,ConditionA,known1,m9,present
42,ConditionA,known1,m10,absent
43,ConditionA,known1,m11,absent
44,ConditionA,known1,m12,absent
45,ConditionA,known1,m13,absent
46,ConditionA,known1,m14,absent
47,ConditionA,known1,m15,absent
48,ConditionA,known1,m16,absent
49,ConditionA,known1,m17,present
50,ConditionA,known1,m18,absent
51,ConditionA,known1,m19,absent
52,ConditionA,known1,m20,absent
53,ConditionA,known1,m21,absent
54,ConditionA,known1,m22,absent
55,ConditionA,known1,m23,absent
56,ConditionA,known1,m24,absent
57,ConditionA,known1,m25,present
58,ConditionA,known1,m26,absent
59,ConditionA,known1,m27,absent
60,ConditionA,known1,m28,absent
61,ConditionA,known1,m29,absent
62,ConditionA,known1,m30,absent
63,ConditionA,known1,m31,absent
64,ConditionA,known2,m0,absent
65,ConditionA,known2,m1,absent
66,ConditionA,known2,m2,present
67,ConditionA,known2,m3,absent
68,ConditionA,known2,m4,absent
69,ConditionA,known2,m5,absent
70,ConditionA,known2,m6,absent
71,ConditionA,known2,m7,absent
72,ConditionA,known2,m8,absent
73,ConditionA,known2,m9,absent
74,ConditionA,known2,m10,present
75,ConditionA,known2,m11,absent
76,ConditionA,known2,m12,absent
77,ConditionA,known2,m13,absent
78,ConditionA,known2,m14,absent
79,ConditionA,known2,m15,absent
80,ConditionA,known2,m16,absent
81,ConditionA,known2,m17,absent
82,ConditionA,known2,m18,present
83,ConditionA,known2,m19,absent
84,ConditionA,known2,m20,absent
85,ConditionA,known2,m21,absent
86,ConditionA,known2,m22,absent
87,ConditionA,known2,m23,absent
88,ConditionA,known2,m24,absent
89,ConditionA,known2,m25,absent
90,ConditionA,known2,m26,present
91,ConditionA,known2,m27,absent
92,ConditionA,known2,m28,absent
93,ConditionA,known2,m29,absent
94,ConditionA,known2,m30,absent
95,ConditionA,known2,m31,absent
96,ConditionA,known3,m0,absent
97,ConditionA,known3,m1,absent
98,ConditionA,known3,m2,absent
99,ConditionA,known3,m3,present
100,ConditionA,known3,m4,absent
101,ConditionA,known3,m5,absent
102,ConditionA,known3,m6,absent
103,ConditionA,known3,m7,absent
104,ConditionA,known3,m8,absent
105,ConditionA,known3,m9,absent
106,ConditionA,known3,m10,absent
107,ConditionA,known3,m11,present
108,ConditionA,known3,m12,absent
109,ConditionA,known3,m13,absent
110,ConditionA,known3,m14,absent
111,ConditionA,known3,m15,absent
112,ConditionA,known3,m16,absent
113,ConditionA,known3,m17,absent
114,ConditionA,known3,m18,absent
115,ConditionA,known3,m19,present
116,ConditionA,known3,m20,absent
117,ConditionA,known3,m21,absent
118,ConditionA,known3,m22,absent
119,ConditionA,known3,m23,absent
120,ConditionA,known3,m24,absent
121,ConditionA,known3,m25,absent
122,ConditionA,known3,m26,absent
123,ConditionA,known3,m27,present
124,ConditionA,known3,m28,absent
125,ConditionA,known3,m29,absent
126,ConditionA,known3,m30,absent
127,ConditionA,known3,m31,absent
128,ConditionA,known4,m0,absent
129,ConditionA,known4,m1,absent
130,ConditionA,known4,m2,absent
131,ConditionA,known4,m3,absent
132,ConditionA,known4,m4,present
133,ConditionA,known4,m5,absent
134,ConditionA,known4,m6,absent
135,ConditionA,known4,m7,absent
136,ConditionA,known4,m8,absent
137,ConditionA,known4,m9,absent
138,ConditionA,known4,m10,absent
139,ConditionA,known4,m11,absent
140,ConditionA,known4,m12,present
141,ConditionA,known4,m13,absent
142,ConditionA,known4,m14,absent
143,ConditionA,known4,m15,absent
144,ConditionA,known4,m16,absent
145,ConditionA,known4,m17,absent
146,ConditionA,known4,m18,absent
147,ConditionA,known4,m19,absent
148,ConditionA,known4,m20,present
149,ConditionA,known4,m21,absent
150,ConditionA,known4,m22,absent
151,ConditionA,known4,m23,absent
152,ConditionA,known4,m24,absent
153,ConditionA,known4,m25,absent
154,ConditionA,known4,m26,absent
155,ConditionA,known4,m27,absent
156,ConditionA,known4,m28,present
157,ConditionA,known4,m29,absent
158,ConditionA,known4,m30,absent
159,ConditionA,known4,m31,absent
160,ConditionA,known5,m0,absent
161,ConditionA,known5,m1,absent
162,ConditionA,known5,m2,absent
163,ConditionA,known5,m3,absent
164,ConditionA,known5,m4,absent
165,ConditionA,known5,m5,present
166,ConditionA,known5,m6,absent
167,ConditionA,known5,m7,absent
168,ConditionA,known5,m8,absent
169,ConditionA,known5,m9,absent
170,ConditionA,known5,m10,absent
171,ConditionA,known5,m11,absent
172,ConditionA,known5,m12,absent
173,ConditionA,known5,m13,present
174,ConditionA,known5,m14,absent
175,ConditionA,known5,m15,absent
176,ConditionA,known5,m16,absent
177,ConditionA,known5,m17,absent
178,ConditionA,known5,m18,absent
179,ConditionA,known5,m19,absent
180,ConditionA,known5,m20,absent
181,ConditionA,known5,m21,present
182,ConditionA,known5,m22,absent
183,ConditionA,known5,m23,absent
184,ConditionA,known5,m24,absent
185,ConditionA,known5,m25,absent
186,ConditionA,known5,m26,absent
187,ConditionA,known5,m27,absent
188,ConditionA,known5,m28,absent
189,ConditionA,known5,m29,present
190,ConditionA,known5,m30,absent
191,ConditionA,known5,m31,absent
192,ConditionA,known6,m0,absent
193,ConditionA,known6,m1,absent
