,Condition,targetID,signal_threshold,time_threshold(Cq)
0,ConditionA,m0,136220,73
1,ConditionA,m1,161639,66
2,ConditionA,m2,141749,32
3,ConditionA,m3,147873,36
4,ConditionA,m4,146446,55
5,ConditionA,m5,143473,43
6,ConditionA,m6,178733,124
7,ConditionA,m7,140447,54
8,ConditionA,m8,154117,87
9,ConditionA,m9,153079,74
10,ConditionA,m10,149472,63
11,ConditionA,m11,178207,72
12,ConditionA,m12,542693,114
13,ConditionA,m13,184343,77
14,ConditionA,m14,145620,43
15,ConditionA,m15,164423,62
16,ConditionA,m16,170886,78
17,ConditionA,m17,198068,106
18,ConditionA,m18,141281,83
19,ConditionA,m19,315822,91
20,ConditionA,m20,136344,43
21,ConditionA,m21,159348,95
22,ConditionA,m22,150603,59
23,ConditionA,m23,172528,89
24,ConditionA,m24,150074,39
25,ConditionA,m25,192460,55
26,ConditionA,m26,228242,78
27,ConditionA,m27,144753,59
28,ConditionA,m28,136259,58
29,ConditionA,m29,179224,45
30,ConditionA,m30,146795,49
31,ConditionA,m31,187851,45
32,ConditionB,m0,223189,83
33,ConditionB,m1,146338,48
34,ConditionB,m2,151328,68
35,ConditionB,m3,233121,68
36,ConditionB,m4,135508,55
37,ConditionB,m5,155410,48
38,ConditionB,m6,169313,110
39,ConditionB,m7,136164,66
40,ConditionB,m8,197325,106
41,ConditionB,m9,179742,70
42,ConditionB,m10,140817,67
43,ConditionB,m11,181911,67
44,ConditionB,m12,178308,69
45,ConditionB,m13,186011,71
46,ConditionB,m14,142645,43
47,ConditionB,m15,167835,65
48,ConditionB,m16,-1,-1
49,ConditionB,m17,159428,92
50,ConditionB,m18,146635,90
51,ConditionB,m19,177473,74
52,ConditionB,m20,134201,37
53,ConditionB,m21,152140,84
54,ConditionB,m22,148754,56
55,ConditionB,m23,-1,-1
56,ConditionB,m24,136161,33
57,ConditionB,m25,157998,48
58,ConditionB,m26,-1,-1
59,ConditionB,m27,145361,54
60,ConditionB,m28,144189,62
61,ConditionB,m29,163327,43
62,ConditionB,m30,143046,52
63,ConditionB,m31,288066,105
64,ConditionC,m0,-1,-1
65,ConditionC,m1,240198,70
66,ConditionC,m2,149266,74
67,ConditionC,m3,180188,67
68,ConditionC,m4,179866,97
69,ConditionC,m5,161664,56
70,ConditionC,m6,157106,127
71,ConditionC,m7,160071,64
72,ConditionC,m8,-1,-1
73,ConditionC,m9,164052,74
74,ConditionC,m10,169211,81
75,ConditionC,m11,159092,75
76,ConditionC,m12,171491,76
77,ConditionC,m13,-1,-1
78,ConditionC,m14,141794,70
79,ConditionC,m15,139359,57
80,ConditionC,m16,-1,-1
81,ConditionC,m17,188058,86
82,ConditionC,m18,-1,-1
83,ConditionC,m19,-1,-1
84,ConditionC,m20,131229,47
85,ConditionC,m21,-1,-1
86,ConditionC,m22,-1,-1
87,ConditionC,m23,169835,83
88,ConditionC,m24,130112,45
89,ConditionC,m25,162651,58
90,ConditionC,m26,727358,96
91,ConditionC,m27,105867,81
92,ConditionC,m28,154262,71
93,ConditionC,m29,146230,48
94,ConditionC,m30,79175,74
95,ConditionC,m31,216644,126
