0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,condition,sampleID,targetID,status,unknown
6682,6839,7024,6978,7344,7545,7762,7709,7909,8302,8420,8469,8767,9038,9245,9241,9661,9799,9867,10469,10597,10803,11268,11327,11987,12201,12577,13009,13122,13822,14049,14660,15097,15590,16469,16493,17346,18240,19062,19895,20324,21309,22222,23768,24553,25932,27268,28667,30177,31933,33317,35423,37767,39487,41880,44434,46924,49616,52294,55790,59407,63119,67426,71374,76165,80735,86302,91852,98097,104534,111910,118886,127313,136220,145695,155918,166871,177979,190740,204157,218626,234086,250829,269011,288457,308500,330866,353095,378198,405900,436499,466683,498569,535651,572898,612687,656167,701396,748834,799058,852160,906123,961801,1020559,1079510,1138148,1193155,1250385,1302653,1352664,1393837,1432013,1460019,1482791,1504281,1517277,1527412,1537332,1546871,1554060,1559671,1565282,1569000,1574454,1578712,1582680,1588419,1591925,1591303,1596755,1599023,1601509,1604303,1606791,1608160,1608819,1609822,1614131,1616108,1613476,1616540,1616727,1620015,1622821,1621610,1623167,1623520,1624143,1625243,1627326,1628654,1627353,1630975,1630727,1631529,1634654,1632338,1636718,1634381,1637158,1636832,1637371,1638170,1638669,1642173,1641677,1643026,1643091,1643438,1645087,1644821,1645411,1646273,1648409,1647600,1650697,1651206,1652638,1650117,1653470,ConditionA,known0,m0,present,N
-3646,-3738,-3571,-3285,-3261,-3125,-2912,-2945,-2793,-2650,-2482,-2643,-2420,-2467,-2198,-2196,-2054,-2173,-1850,-1674,-1700,-1679,-1479,-1491,-1420,-1194,-1046,-1003,-832,-1059,-685,-750,-545,-292,-162,-55,-36,148,131,138,840,580,986,939,1130,1435,1420,1914,2099,2545,2729,2882,3257,3596,4035,4677,4833,5253,5995,6517,7212,7692,8600,9146,10048,10641,11527,12585,14242,15385,16543,18077,20224,21439,23378,25960,28176,30839,33332,36174,39520,43324,47082,51584,56064,60871,66179,72744,79051,86234,94061,102638,112204,122363,133108,145076,158152,172693,188044,204990,224048,243954,265471,289442,315374,343073,371939,404831,441177,477800,519311,562903,610049,659701,711058,763376,818077,873106,929411,987135,1039162,1090953,1136543,1182979,1219076,1252706,1282413,1309867,1339564,1360959,1379524,1398772,1418297,1431795,1445192,1452968,1465270,1471436,1478485,1485985,1490979,1492648,1499285,1502041,1506279,1507158,1511571,1513474,1515113,1516336,1515350,1517281,1520557,1519741,1522764,1524322,1524885,1527263,1526919,1529327,1532896,1528908,1530518,1531238,1531826,1534294,1530010,1532003,1533321,1532776,1533681,1534574,1536927,1537028,1536857,1538270,1538191,1538860,1541810,1543724,ConditionA,known0,m1,absent,N
-9858,-10172,-9823,-10032,-9800,-9705,-9726,-9522,-9253,-9410,-9087,-9306,-9205,-9133,-8953,-9097,-8816,-8747,-8782,-8601,-8642,-8632,-8444,-8321,-8327,-8362,-8245,-8186,-7966,-7985,-8002,-8066,-7703,-7913,-7910,-7771,-7414,-7779,-7083,-7367,-7428,-7139,-7181,-7020,-6913,-6868,-6614,-6901,-6735,-6584,-6710,-6421,-6304,-6258,-6078,-6407,-6186,-5958,-5788,-5831,-5547,-5164,-5262,-5293,-4983,-4799,-4682,-4520,-4195,-3981,-4019,-3599,-3528,-3308,-3105,-2781,-2440,-2206,-1865,-1480,-871,-622,55,415,1041,1528,2187,3043,3928,4681,5833,6562,7843,9019,10316,11972,13326,14621,16702,18661,21046,23431,25706,28598,31537,34558,38222,42073,45701,50209,55144,59596,65432,71123,77126,83813,91066,98247,106346,114779,123562,133281,143722,153678,165122,176356,188812,201249,214572,228281,241597,256024,270509,285036,297604,312775,326489,342397,353972,365877,378123,388618,397952,406892,414589,420352,424506,428443,432264,435946,439507,441356,443140,447074,448265,452017,452287,455940,456845,459258,460784,462789,466103,467337,468130,469901,472438,472986,475833,476897,477160,480228,482324,482398,484597,486117,487310,487487,490208,489975,ConditionA,known0,m2,absent,N
-7028,-7014,-6626,-6298,-5914,-5823,-5113,-4672,-4673,-4277,-3692,-3415,-3358,-3025,-2396,-1945,-1711,-1178,-1005,-602,-428,111,249,626,1021,1287,1750,1952,2513,2496,2888,3289,3387,4140,4159,4052,4621,5205,5373,5314,6092,5734,5973,6393,6893,6709,6887,6755,7513,7882,7426,8287,8153,8052,8495,9083,8978,9604,9237,9299,10054,9872,9872,9939,9913,10665,10501,10400,10944,10897,11005,11401,11791,11814,11307,11436,11839,11664,12101,12318,12723,13242,12683,13083,13683,13216,13909,13592,14035,14656,14613,15248,15252,14864,15690,16331,16335,16865,16794,17725,17584,18374,19178,19223,19847,20682,21031,21753,22422,22968,24671,24787,25845,27016,28280,29328,31361,32954,34531,35619,38100,39893,42213,45035,48533,51297,54477,58224,61798,66359,71315,76790,82457,88262,95110,102344,109899,118962,127787,138281,149292,159953,173898,186807,201639,215595,232026,249442,266831,286246,305714,326385,346965,366873,388373,410247,430993,452530,473409,490097,510852,527072,543507,558634,569807,581264,588891,596222,604094,610555,613805,617205,620528,624162,628087,630051,632690,635985,639871,641474,ConditionA,known0,m3,absent,N
-13598,-13571,-12694,-13877,-12837,-13611,-12894,-12854,-13782,-12957,-13343,-13835,-12746,-13658,-13541,-13038,-12140,-12663,-12417,-12075,-12663,-11535,-12135,-12100,-11235,-12557,-11306,-11705,-11987,-12570,-11952,-11315,-11388,-11441,-11013,-10802,-12143,-11753,-10923,-10237,-11578,-11374,-10495,-11357,-9679,-10632,-9988,-10132,-10329,-10009,-10541,-9844,-9677,-10172,-10582,-8931,-10022,-8168,-8427,-8063,-7982,-8030,-7004,-7034,-7186,-7148,-7178,-5781,-5957,-6385,-4699,-5245,-4719,-4360,-3050,-3345,-2479,-1467,-567,-313,1386,1634,1738,2575,4949,6552,7944,8799,10633,10996,12656,16437,16959,20231,23767,24846,28708,31537,36229,39926,43305,46804,53367,58518,64793,69902,76620,84779,92892,103291,111255,120895,132619,144943,157128,173379,186660,203561,220864,240824,259412,281070,303120,327543,353982,379784,408255,435005,464776,496224,525887,559792,590059,619191,646698,675462,702205,726572,749563,772641,791322,808615,824358,841308,852041,864330,872751,887009,895348,904438,910452,918695,923197,926845,931445,934417,939633,941782,945522,947100,948326,951489,952537,953790,956664,956355,958352,960078,960905,959899,960505,964191,965412,966008,964497,964470,969083,965359,969566,968247,ConditionA,known0,m4,absent,N
12877,12876,13098,13339,13357,13521,13493,13619,13821,14096,14045,14260,14214,14378,14547,14657,14568,14648,14966,15217,15112,15106,15297,15503,15633,15620,15941,15604,15938,15984,16240,16546,16309,16577,16857,16792,16716,17049,17149,17418,17346,17688,17751,18067,18166,18394,18769,18741,18931,19314,19353,19678,19744,20315,20780,21192,21541,21955,22334,22758,23487,24077,24919,25644,26406,27402,28426,29332,30588,31899,33009,34836,36702,38522,40798,43178,45930,48193,51668,55162,58630,62877,67596,72628,78208,84099,90663,98383,106408,115257,125565,136124,147579,160509,175319,190873,208214,227274,248125,270153,293916,320023,349764,382741,417136,455150,495693,541521,587910,638764,693224,750923,811666,875079,940711,1009838,1076982,1140540,1204634,1262270,1312114,1355137,1391097,1416243,1438706,1454728,1470478,1481109,1489462,1497872,1503665,1511004,1516792,1523684,1524929,1531422,1535827,1538534,1542399,1545685,1547634,1551547,1553956,1558413,1562103,1562237,1566078,1567543,1571777,1572203,1575314,1575229,1577311,1579158,1582941,1581620,1583441,1585422,1587308,1587908,1591107,1593865,1592467,1597001,1599153,1599656,1600059,1602548,1602810,1604476,1606237,1608374,1608851,1610945,1612027,1613555,1613018,1615414,1615053,1614943,ConditionA,known0,m5,absent,N
-5507,-5063,-5715,-5253,-4562,-4001,-4322,-3525,-3217,-2697,-2594,-2456,-1879,-1866,-1557,-1297,-749,-547,-108,85,443,840,1184,736,1493,1727,2137,2213,2352,3115,2493,3174,3161,3558,4045,4266,4176,4429,5370,5102,4855,5243,5421,5384,5715,5634,6447,6421,6099,6639,6649,6596,7022,6906,7266,6976,7158,7463,7842,7752,7838,7934,8350,8182,8205,8671,9030,8296,8724,8829,9002,9118,9346,9449,9377,9521,9447,9427,9923,9799,9778,10116,9631,9744,10084,10174,10370,10365,10714,10087,10670,10439,10622,10990,10860,11131,11401,11141,10716,11513,11912,11278,11979,11479,11890,12168,11928,12038,12319,12387,12820,12553,12866,12970,13550,13354,13513,13768,14101,14320,14676,14931,14947,15224,15474,15967,16748,16485,17068,17037,17655,18254,17412,18371,18506,18941,19184,19209,19722,19665,20300,20897,21090,21109,21378,21770,21863,21818,22220,22045,23006,22795,22950,23618,23652,23621,24341,24524,24629,24548,24994,24759,25459,25166,25425,25815,25589,25708,25388,26018,26075,26429,26839,26645,26462,26918,26691,27167,27189,27138,ConditionA,known0,m6,absent,N
3850,3936,4157,4265,4491,4132,4747,5142,5091,5304,5271,5651,4643,5235,6008,5552,5904,6332,6593,6513,6499,7062,7215,7304,7029,7519,7841,7597,7538,8052,8014,8344,7688,7612,8720,8542,8545,8508,9176,9209,8965,9298,9900,9543,9933,10239,10419,10563,10657,10591,10255,10920,11065,11695,11654,11633,11529,11749,12216,12199,12381,12704,13360,12891,13497,13667,14233,14112,14853,14546,14814,15522,16197,16670,16585,17060,17129,17660,18648,18783,19305,19921,21111,21450,22154,23042,23837,25455,26127,27490,28102,30062,31108,32675,34272,36550,37781,39746,42625,44771,47137,50258,52955,56218,59720,63111,67205,71688,76322,81368,86886,92644,99092,106352,113901,121750,129942,139532,149432,159978,172124,184555,198460,212451,228209,244483,262118,280893,301484,322344,345523,369316,393754,421102,447782,476754,505451,535359,564871,593957,621369,647794,671343,691903,717395,728155,742153,750773,758884,768470,775225,779663,779371,786126,790058,793806,801437,801073,802613,805510,811496,809510,811094,816786,816340,817955,817873,822557,822758,823507,826058,825552,827751,832273,830514,831794,835066,833996,838525,837196,ConditionA,known0,m7,absent,N
-9443,-8540,-7282,-6661,-7983,-7765,-7826,-6604,-6576,-5718,-6740,-5491,-5552,-6306,-6738,-5823,-4663,-5176,-5823,-6093,-4131,-3696,-4613,-4081,-3053,-4363,-363,-3614,-2526,-3058,-3252,-1195,-3493,-185,-1578,309,255,810,455,1618,1868,2075,2765,3793,4637,3758,6535,3255,6860,6233,8780,6469,10354,10650,12493,12579,11930,15752,17309,20817,22017,22337,27308,28069,31041,34864,35930,39207,41892,47237,52306,56608,62674,67083,75121,80285,86171,95888,103108,110000,123060,133364,147033,159600,173684,187795,204505,221624,241590,263440,283710,310306,336405,364905,392599,425725,460230,493979,534551,575357,615404,659758,701461,747490,788575,836215,876791,921163,956245,990155,1020675,1047350,1067437,1085148,1102478,1111768,1122689,1128654,1135867,1139963,1142643,1150851,1153518,1155268,1158153,1160480,1162158,1164687,1166079,1168966,1174236,1170507,1175289,1172334,1177397,1176811,1175053,1179376,1181847,1181424,1181331,1185628,1184517,1185475,1185628,1188702,1188101,1190276,1191424,1191565,1189949,1193456,1192613,1195908,1192283,1194506,1198393,1199754,1201372,1199428,1199378,1199720,1201531,1201830,1204440,1204424,1207132,1204970,1206462,1205172,1206883,1210719,1205930,1206852,1209058,1212389,1209380,1210892,1212725,1211482,ConditionA,known0,m8,present,N
-5642,-5402,-5123,-5075,-5212,-5155,-4872,-4808,-4512,-4305,-4070,-4250,-4139,-3812,-3773,-3857,-3782,-3787,-3625,-3311,-3129,-3119,-3099,-2865,-2747,-2602,-2830,-2241,-2588,-2323,-2148,-1824,-2089,-1681,-1576,-1554,-1354,-1289,-892,-1066,-811,-375,-372,-369,-51,90,93,385,805,929,1279,1599,1684,1929,2213,3046,3154,3401,4053,4435,4555,5525,5785,6796,7093,7873,8582,9561,10511,11396,12044,13563,14292,15700,17160,18576,20388,22069,24381,26266,28551,30976,33574,36520,39465,42871,46714,50634,55390,59652,64659,70148,76191,82799,89649,97491,105772,115299,124766,135267,146771,158989,172647,187422,203042,220210,238656,258419,280033,300995,326246,353564,381150,410936,442049,478198,512580,552593,592029,636846,678778,724504,771974,821591,868440,917450,967861,1015797,1066324,1113472,1156356,1199303,1235461,1273211,1304820,1333516,1358469,1381252,1402642,1419520,1433732,1448236,1458848,1467391,1474685,1482257,1488078,1493340,1498669,1502379,1506678,1513158,1514017,1518006,1518615,1521222,1523078,1527879,1529534,1530408,1534672,1532696,1538764,1537025,1539612,1541629,1543561,1545763,1546661,1546091,1549280,1549586,1549990,1551360,1550863,1553480,1553681,1553549,1555352,1554567,ConditionA,known0,m9,absent,N
