,Condition,targetID,signal_threshold,time_threshold(Cq)
0,ConditionA,m0,118886,71
1,ConditionA,m1,135502,64
2,ConditionA,m2,118045,30
3,ConditionA,m3,126319,34
4,ConditionA,m4,125370,53
5,ConditionA,m5,120842,41
6,ConditionA,m6,154821,121
7,ConditionA,m7,120941,52
8,ConditionA,m8,132205,85
9,ConditionA,m9,131371,72
10,ConditionA,m10,135866,62
11,ConditionA,m11,155603,70
12,ConditionA,m12,460287,111
13,ConditionA,m13,149958,74
14,ConditionA,m14,122475,41
15,ConditionA,m15,152375,61
16,ConditionA,m16,150873,76
17,ConditionA,m17,156859,103
18,ConditionA,m18,118429,81
19,ConditionA,m19,254640,88
20,ConditionA,m20,115290,41
21,ConditionA,m21,145669,94
22,ConditionA,m22,128555,57
23,ConditionA,m23,154058,87
24,ConditionA,m24,137684,38
25,ConditionA,m25,166966,53
26,ConditionA,m26,191862,76
27,ConditionA,m27,114760,56
28,ConditionA,m28,124745,57
29,ConditionA,m29,151459,43
30,ConditionA,m30,117550,47
31,ConditionA,m31,157978,43
32,ConditionB,m0,183599,81
33,ConditionB,m1,117518,46
34,ConditionB,m2,121060,66
35,ConditionB,m3,196978,66
36,ConditionB,m4,121480,54
37,ConditionB,m5,138335,47
38,ConditionB,m6,150792,108
39,ConditionB,m7,124128,65
40,ConditionB,m8,169490,104
41,ConditionB,m9,143512,68
42,ConditionB,m10,126844,66
43,ConditionB,m11,152496,65
44,ConditionB,m12,162813,68
45,ConditionB,m13,156558,69
46,ConditionB,m14,115176,41
47,ConditionB,m15,138669,63
48,ConditionB,m16,-1,-1
49,ConditionB,m17,130101,90
50,ConditionB,m18,134207,89
51,ConditionB,m19,147692,72
52,ConditionB,m20,120241,36
53,ConditionB,m21,126025,82
54,ConditionB,m22,118974,54
55,ConditionB,m23,-1,-1
56,ConditionB,m24,123234,32
57,ConditionB,m25,142331,47
58,ConditionB,m26,-1,-1
59,ConditionB,m27,130243,53
60,ConditionB,m28,118495,60
61,ConditionB,m29,147700,42
62,ConditionB,m30,126570,51
63,ConditionB,m31,259418,104
64,ConditionC,m0,-1,-1
65,ConditionC,m1,194840,68
66,ConditionC,m2,120995,72
67,ConditionC,m3,150018,65
68,ConditionC,m4,158601,96
69,ConditionC,m5,144905,55
70,ConditionC,m6,127514,123
71,ConditionC,m7,140232,62
72,ConditionC,m8,-1,-1
73,ConditionC,m9,131349,72
74,ConditionC,m10,146400,79
75,ConditionC,m11,132244,73
76,ConditionC,m12,140448,74
77,ConditionC,m13,-1,-1
78,ConditionC,m14,116589,68
79,ConditionC,m15,114026,55
80,ConditionC,m16,-1,-1
81,ConditionC,m17,174646,85
82,ConditionC,m18,305903,115
83,ConditionC,m19,-1,-1
84,ConditionC,m20,117875,46
85,ConditionC,m21,-1,-1
86,ConditionC,m22,-1,-1
87,ConditionC,m23,141826,81
88,ConditionC,m24,116692,44
89,ConditionC,m25,131770,56
90,ConditionC,m26,670167,95
91,ConditionC,m27,105867,81
92,ConditionC,m28,142273,70
93,ConditionC,m29,132455,47
94,ConditionC,m30,59661,73
95,ConditionC,m31,197601,125
