,Condition,targetID,signal_threshold,time_threshold(Cq)
0,ConditionA,m0,100000,69
1,ConditionA,m1,100000,61
2,ConditionA,m2,100000,29
3,ConditionA,m3,100000,32
4,ConditionA,m4,100000,51
5,ConditionA,m5,100000,39
6,ConditionA,m6,100000,112
7,ConditionA,m7,100000,50
8,ConditionA,m8,100000,82
9,ConditionA,m9,100000,69
10,ConditionA,m10,100000,59
11,ConditionA,m11,100000,64
12,ConditionA,m12,100000,85
13,ConditionA,m13,100000,69
14,ConditionA,m14,100000,39
15,ConditionA,m15,100000,56
16,ConditionA,m16,100000,70
17,ConditionA,m17,100000,98
18,ConditionA,m18,100000,80
19,ConditionA,m19,100000,77
20,ConditionA,m20,100000,40
21,ConditionA,m21,100000,90
22,ConditionA,m22,100000,54
23,ConditionA,m23,100000,80
24,ConditionA,m24,100000,35
25,ConditionA,m25,100000,46
26,ConditionA,m26,100000,69
27,ConditionA,m27,100000,55
28,ConditionA,m28,100000,55
29,ConditionA,m29,100000,38
30,ConditionA,m30,100000,46
31,ConditionA,m31,100000,38
32,ConditionB,m0,100000,75
33,ConditionB,m1,100000,45
34,ConditionB,m2,100000,65
35,ConditionB,m3,100000,58
36,ConditionB,m4,100000,53
37,ConditionB,m5,100000,45
38,ConditionB,m6,100000,102
39,ConditionB,m7,100000,63
40,ConditionB,m8,100000,98
41,ConditionB,m9,100000,65
42,ConditionB,m10,100000,64
43,ConditionB,m11,100000,61
44,ConditionB,m12,100000,63
45,ConditionB,m13,100000,65
46,ConditionB,m14,100000,40
47,ConditionB,m15,100000,60
48,ConditionB,m16,-1,-1
49,ConditionB,m17,100000,88
50,ConditionB,m18,100000,86
51,ConditionB,m19,100000,68
52,ConditionB,m20,100000,35
53,ConditionB,m21,100000,80
54,ConditionB,m22,100000,53
55,ConditionB,m23,-1,-1
56,ConditionB,m24,100000,30
57,ConditionB,m25,100000,44
58,ConditionB,m26,100000,64
59,ConditionB,m27,100000,51
60,ConditionB,m28,100000,59
61,ConditionB,m29,100000,39
62,ConditionB,m30,100000,50
63,ConditionB,m31,100000,96
64,ConditionC,m0,-1,-1
65,ConditionC,m1,100000,62
66,ConditionC,m2,100000,71
67,ConditionC,m3,100000,61
68,ConditionC,m4,100000,93
69,ConditionC,m5,100000,52
70,ConditionC,m6,100000,119
71,ConditionC,m7,100000,57
72,ConditionC,m8,100000,130
73,ConditionC,m9,100000,70
74,ConditionC,m10,100000,74
75,ConditionC,m11,100000,71
76,ConditionC,m12,100000,71
77,ConditionC,m13,-1,-1
78,ConditionC,m14,100000,67
79,ConditionC,m15,100000,54
80,ConditionC,m16,-1,-1
81,ConditionC,m17,100000,78
82,ConditionC,m18,100000,94
83,ConditionC,m19,-1,-1
84,ConditionC,m20,100000,45
85,ConditionC,m21,-1,-1
86,ConditionC,m22,-1,-1
87,ConditionC,m23,100000,78
88,ConditionC,m24,100000,43
89,ConditionC,m25,100000,54
90,ConditionC,m26,100000,74
91,ConditionC,m27,100000,81
92,ConditionC,m28,100000,66
93,ConditionC,m29,100000,45
94,ConditionC,m30,100000,75
95,ConditionC,m31,100000,121
